rodada,time_casa,placar_time_casa,tecnico_time_casa,capitao_time_casa,time_visitante,placar_time_visitante,tecnico_time_visitante,capitao_time_visitante,data_jogo,horario_jogo,estadio_jogo,arbitro_jogo,var_jogo,gols_jogo,publico_jogo,renda_jogo,posse_time_casa,posse_time_visitante,quant_total_passes_time_casa,quant_passes_certos_time_casa,por_passes_certos_time_casa,quant_total_passes_time_visitante,quant_passes_certos_time_visitante,por_passes_certos_time_visitante,quant_total_chutes_time_casa,quant_chutes_certos_time_casa,por_chutes_certos_time_casa,quant_total_chutes_time_visitante,quant_chutes_certos_time_visitante,por_chutes_certos_time_visitante,quant_total_desefas_goleiro_time_casa,quant_desefas_certas_goleiro_time_casa,por_desefas_certas_goleiro_time_casa,quant_total_defesas_goleiro_time_visitante,quant_defesas_certas_goleiro_time_visitante,por_defesas_certas_goleiro_time_visitante,quant_faltas_time_casa,quant_faltas_time_visitante,quant_escanteios_time_casa,quant_escanteios_time_visitante,quant_cruzamentos_time_casa,quant_cruzamentos_time_visitante,quant_contatos_time_casa,quant_contatos_time_visitante,quant_bote_defensivo_time_casa,quant_bote_defensivo_time_visitante,quant_cortes_time_casa,quant_cortes_time_visitante,quant_jogada_aereas_time_casa,quant_jogada_aereas_time_visitante,quant_defesas_time_casa,quant_defesas_time_visitante,quant_impedimentos_time_casa,quant_impedimentos_time_visitante,quant_tiros_meta_time_casa,quant_tiros_meta_time_visitante,quant_cobranca_lateral_time_casa,quant_cobranca_lateral_time_visitante,quant_bolas_longas_time_casa,quant_bolas_longas_time_visitante,tempo_cartao_amarelo,1T/2T_cartao_amarelo,jogadores_cartao_amarelo,time_jogadores_cartao_amarelo,motivo_cartao_amarelo,tempo_cartao_vermelho,1T/2T_cartao_vermelho,jogadores_cartao_vermelho,time_jogadores_cartao_vermelho,cartao_vermelho_direto_ou_2_cartao_amarelo,motivo_cartao_vermelho,tempo_substituicao,1T/2T_substituicao,time_jogadores_substituicao,jogadores_substituidos,escalacao_jogo
1,Flamengo,3,Técnico: Mário Jorge,Capitão: Everton Ribeiro,Coritiba,0,Técnico: António Oliveira,Capitão: Gabriel,domingo Abril 16, 16:00 (hora local),Local: Estadio Jornalista Mário Filho / Rio de Janeiro,Oficiais: Rodrigo José Pereira de Lima (Árbitro) , Daniel Nobre Bins (VAR),"['Ayrton Lucas · 12’', 'Gabriel Barbosa (P) · 56’', 'Pedro · 90+5’']",Público: 43 440,"Renda: R$ 2 486 755,00",58%,42%,581,505,87%,420,348,83%,14,6,43%,10,3,30%,3,3,100%,6,4,66%,20,17,6,3,16,12,704,556,23,28,12,11,7,9,13,17,1,2,3,5,19,21,58,58,"['17:00', '35:00', '43:00', '22:00', '30:00', '+03:00']","['1T', '2T', '2T', '1T', '1T', '2T']","['Gabriel Barbosa Almeida', 'Fabricio Bruno Soares de Faria', 'Mario Sergio Santos Costa', 'Ocimar de Almeida Junior', 'William de Oliveira Pottker', 'Jose Roberto Assunçao de Araujo Filho']","['Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Coritiba/PR', 'Coritiba/PR', 'Coritiba/PR']","['Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Desaprovar com palavras e gestos as decisões da\narbitragem.', 'Motivo: A1.3. Cometer uma falta tática para impedir um ataque promissor - Cometer uma falta tática para impedir um ataque\npromissor.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra seu\nadversário de maneira temerária durante uma disputa pela bola.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra seu\nadversário de maneira temerária durante uma disputa pela bola.', 'Motivo: A1.11. Golpear um adversário de maneira temerária na disputa da bola - Golpear seu adversário de maneira temerária\ndurante uma disputa pela bola.', 'Motivo: A1.4. Segurar um adversário por motivo tático para afastá-lo da bola - Segurar seu adversário por motivo tático para afastá-lo\nda bola.']",,,,,,NÃO HOUVE EXPULSÕES,"['05:00', '08:00', '08:00', '23:00', '23:00', '25:00', '25:00', '30:00', '30:00', '41:00']","['2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T']","['Coritiba/PR', 'Coritiba/PR', 'Coritiba/PR', 'Flamengo/RJ', 'Flamengo/RJ', 'Coritiba/PR', 'Coritiba/PR', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ']","[('30 - Robson dos Santos Fernandes', '9 - Rodrigo Cunha Pereira de Pinho'), ('37 - Kaio Cesar Andrade Lima', '90 - William de Oliveira Pottker'), ('7 - Andrey Ramos do Nascimento', '6 - Bruno Gomes da Silva Clevela...'), ('27 - Bruno Henrique Pinto', '11 - Everton Sousa Soares'), ('48 - Igor Jesus Lima', '8 - Thiago Maia Alencar'), ('18 - Jose Roberto Assunçao de Ara...', '31 - Igor Matheus Liziero Pereira'), ('83 - Jamerson Santos de Jesus', '26 - Victor Luis Chuab Zamblauskas'), ('9 - Pedro Guilherme Abreu dos Sa...', '10 - Gabriel Barbosa Almeida'), ('31 - Mario Sergio Santos Costa', '42 - Matheus França de Oliveira'), ('29 - Victor Hugo Gomes Silva', '7 - Everton Augusto de Barros Ri...')]","['1 Santos', '4 Léo Pereira', '6 Ayrton Lucas', '7 Everton Ribeiro', '8 Thiago Maia', '10 Gabriel Barbosa', '11 Everton Soares', '15 Fabrício Bruno', '20 Gerson', '42 Matheus França', '43 Wesley', 'Banco', '25 Matheus Cunha', '2 Guillermo Varela', '3 Rodrigo Caio', '9 Pedro', '27 Bruno Henrique', '29 Victor Hugo', '30 Pablo', '31 Marinho', '38 André Inácio', '39 Zé Welinton', '40 Matheus Gonçalves', '48 Igor']"
2,Internacional,2,Técnico: Mano Menezes,Capitão: Alan Patrick,Flamengo,1,Técnico: Jorge Sampaoli,Capitão: Everton Ribeiro,domingo Abril 23, 11:00 (hora local),Local: Estádio José Pinheiro Borba / Porto Alegre,Oficiais: Ramon Abatti Abel (Árbitro) , Rodolpho Toski (VAR),"['Mauricio · 67’', 'Mauricio · 90+8’', 'Gerson · 63’']",Público: 45 751,"Renda: R$ 2 446 749,00",36%,64%,353,275,78%,629,547,87%,16,4,25%,16,4,25%,4,3,75%,4,2,50%,14,13,6,2,21,11,478,730,19,9,18,7,9,6,17,14,2,3,10,8,16,22,49,49,"['16:00', '29:00', '43:00', '+09:00', '-']","['1T', '1T', '1T', '2T', 'PJ']","['Luiz Antonio Venker Menezes', 'Vitor Eduardo da Silva Matos', 'Gustavo Campanharo', 'Mauricio Magalhaes Prado', 'Everton Sousa Soares']","['Internacional/RS', 'Internacional/RS', 'Internacional/RS', 'Internacional/RS', 'Flamengo/RJ']","['Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por desaprovar com palavras e gestos as decisões da\narbitragem.', 'Motivo: A1.14. Atuar de maneira a mostrar desrespeito ao jogo - Puxando seu adversário de forma acintosa', 'Motivo: A1.2. Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola - Por dar um\ncalço em seu adversário de maneira temerária na disputa da bola.', 'Motivo: A1.24. Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser) - Por tirar a camisa na\ncomemoração de um gol de sua equipe.', 'Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Desaprovar com palavras as decisões da arbitragem.']",,,,,,NÃO HOUVE EXPULSÕES,"['20:00', '20:00', '20:00', '24:00', '24:00', '31:00', '32:00', '39:00', '44:00']","['2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T']","['Internacional/RS', 'Internacional/RS', 'Internacional/RS', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Internacional/RS', 'Internacional/RS', 'Flamengo/RJ']","[('27 - Mauricio Magalhaes Prado', '28 - Pedro Henrique Konzen Medina...'), ('9 - Luiz Adriano Souza da Silva', '35 - Alexandre Zurawski'), ('14 - Carlos Maria de Pena Bonino', '30 - Joao Lucas de Souza Cardoso'), ('11 - Everton Sousa Soares', '32 - Arturo Erasmo Vidal Pardo'), ('31 - Mario Sergio Santos Costa', '9 - Pedro Guilherme Abreu dos Sa...'), ('42 - Matheus França de Oliveira', '7 - Everton Augusto de Barros Ri...'), ('33 - Gabriel Baralhas dos Santos', '17 - Gustavo Campanharo'), ('38 - Jean Dias da Costa', '11 - Wanderson Maciel Sousa Campos'), ('3 - Rodrigo Caio Coquette Russo', '4 - Leonardo Pereira')]","['1 Santos', '4 Léo Pereira', '6 Ayrton Lucas', '8 Thiago Maia', '9 Pedro', '10 Gabriel Barbosa', '11 Everton Soares', '15 Fabrício Bruno', '23 David Luiz', '32 Arturo Vidal', '43 Wesley', 'Banco', '25 Matheus Cunha', '3 Rodrigo Caio', '5 Erick Pulgar', '7 Everton Ribeiro', '20 Gerson', '27 Bruno Henrique', '29 Victor Hugo', '30 Pablo', '31 Marinho', '40 Matheus Gonçalves', '42 Matheus França', '48 Igor']"
3,Flamengo,2,Técnico: Jorge Sampaoli,Capitão: Gabriel Barbosa,Botafogo (RJ),3,Técnico: Luís Castro,Capitão: Fernando Marçal,domingo Abril 30, 16:00 (hora local),Local: Estadio Jornalista Mário Filho / Rio de Janeiro,Oficiais: Edina Alves Batista (Árbitro) , Daiane Muniz (VAR),"['Léo Pereira · 58’', 'Léo Pereira · 86’', 'Tiquinho Soares (P) · 30’', 'Danilo Barbosa · 45+5’', 'Rafael · 51’', 'Tiquinho Soares · 71’']",Público: 53 138,"Renda: R$ 2 880 685,00",74%,26%,698,592,85%,249,171,69%,24,13,54%,11,5,45%,5,3,60%,13,11,84%,14,12,7,2,29,9,791,377,12,18,10,11,10,8,7,33,3,1,5,11,20,11,51,56,"['28:00', '28:00', '34:00', '42:00', '11:00', '39:00', '+02:00', '+11:00']","['1T', '2T', '2T', '1T', '2T', '2T', '1T', '2T']","['Gabriel Barbosa Almeida', 'David Luiz Moreira Marinho', 'Thiago Maia Alencar', 'Arturo Erasmo Vidal Pardo', 'Luis Manuel Ribeiro de Castro', 'Francisco das Chagas Soares dos Santos', 'Rafael Pereira da Silva', 'Victor Leandro Cuesta']","['Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Botafogo/RJ', 'Botafogo/RJ', 'Botafogo/RJ', 'Botafogo/RJ']","['Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por protestar com palavras contra a decisão da\narbitragem.', 'Motivo: A1.3. Cometer uma falta tática para impedir um ataque promissor - Por cometer uma falta tática impedindo um ataque\npromissor.', 'Motivo: A1.1. Dar ou tentar dar um pontapé (chute) em um adversário de maneira temerária na disputa da bola - Dar um pontapé em\nseu adversário de forma temerária na disputa pela bola.', 'Motivo: A1.2. Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola - Por calçar o\nseu adversário na disputa pela bola de forma temerária.', 'Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por sair da sua área técnica, indo próximo a área\ntécnica da equipe adversária questionando o ato de substituição.', 'Motivo: A1.4. Segurar um adversário por motivo tático para afastá-lo da bola - Por segurar o seu adversário de forma antidesportiva.', 'Motivo: A3. Retardar o reinício do jogo - Por retardar o reinício da partida impedindo o adversário de cobra um arremesso lateral.', 'Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por reclamar contra a decisão da arbitragem de forma\npersistente.']","['5:00', '11:00']","['2T', '2T']","['Rafael Pereira da Silva ', 'Luis Manuel Ribeiro de Castro ']","[' Botafogo/RJ', ' Botafogo/RJ']","['2º Cartão Amarelo', '2º Cartão Amarelo']","['Motivo: V2.8. Outro motivo (detalhar no campo expulsões) - Após a marcação de falta a favor da sua equipe, o mesmo atinge com as\ntravas de sua chuteira a canela do seu adversário de forma temerária .', 'Motivo: V2.8. Outro motivo (detalhar no campo expulsões) - Por ter se deslocado ate a area da equipe mandante reclamando com\ngestos e palavras socando o ar repetidamente. apos ser advertido com cartao amarelo, seguiu com os protestos ofensivos. alegou\nnão ter autorizado a substituição da sua equipe, mesmo após o jogador substituto estando pronto para o ato, com a cartão de\nsubstituição entregue ao quarto árbitro. fui informada pelo quarto árbitro que o jogador disse estar pronto para a substituição e que\npoderia fazer a mesma, e após ter levantado a placa de substituição, o técnico havia desistido pela 3º vez do ato, proferindo\nrepetidamente as seguintes palavras: "" quem manda na minha equipe sou eu "", ainda socando o ar .']","['+5:00', '45:00', '11:00', '15:00', '22:00', '22:00', '27:00', '36:00', '36:00']","['2T', 'INT', '2T', '2T', '2T', '2T', '2T', '2T', '2T']","['Botafogo/RJ', 'Flamengo/RJ', 'Botafogo/RJ', 'Flamengo/RJ', 'Botafogo/RJ', 'Botafogo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ']","[('94 - Philipe Sampaio Azevedo', '6 - Danilo das Neves Pinheiro'), ('7 - Everton Augusto de Barros Ri...', '6 - Ayrton Lucas Dantas de Medei...'), ('24 - Leonel Di Placido', '37 - Jose Antonio dos Santos Junior'), ('31 - Mario Sergio Santos Costa', '43 - Wesley Vinicius França Lima'), ('11 - Luis Henrique Tomaz de Lima', '7 - Joao Victor Santos Sa'), ('17 - Marlon Rodrigues Freitas', '33 - Carlos Eduardo de Oliveira A...'), ('27 - Bruno Henrique Pinto', '11 - Everton Sousa Soares'), ('42 - Matheus França de Oliveira', '8 - Thiago Maia Alencar'), ('29 - Victor Hugo Gomes Silva', '32 - Arturo Erasmo Vidal Pardo')]","['25 Matheus Cunha', '4 Léo Pereira', '5 Erick Pulgar', '6 Ayrton Lucas', '7 Everton Ribeiro', '9 Pedro', '11 Everton Soares', '14 Giorgian De Arrascaeta', '15 Fabrício Bruno', '29 Victor Hugo', '43 Wesley', 'Banco', '1 Santos', '3 Rodrigo Caio', '23 David Luiz', '27 Bruno Henrique', '30 Pablo', '31 Marinho', '32 Arturo Vidal', '33 Cleiton', '38 André Inácio', '40 Matheus Gonçalves', '42 Matheus França', '48 Igor']"
4,Athletico Paranaense,2,Técnico: Paulo Turra,Capitão: Thiago Heleno,Flamengo,1,Técnico: Jorge Sampaoli,Capitão: Everton Ribeiro,domingo Maio 7, 16:00 (hora local),Local: Estádio Joaquim Américo Guimarães / Curitiba,Oficiais: Raphael Claus (Árbitro) , Thiago Duarte Peixoto (VAR),"['Vitor Roque · 29’', 'Erick · 80’', 'Gabriel Barbosa (P) · 15’']",Público: 32 015,"Renda: R$ 1 898 030,00",40%,60%,382,290,76%,577,475,82%,10,4,40%,13,3,23%,3,3,100%,4,2,50%,15,11,2,8,7,20,502,677,19,15,7,11,8,13,25,16,2,0,6,8,20,16,65,62,"['28:00', '31:00', '18:00', '+07:00']","['2T', '1T', '1T', '2T']","['Erick Antonio Pulgar Farfan', 'Gabriel Barbosa Almeida', 'Erick Luis Conrado Carvalho', 'Fernando Luiz Roza']","['Flamengo/RJ', 'Flamengo/RJ', 'Athletico Paranaense/PR', 'Athletico Paranaense/PR']","['Motivo: A1.2. Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola - Por calçar o\nseu adversário de maneira temerária.', 'Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por desaprovar as decisões da arbitragem.', 'Motivo: A1.2. Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola - Por calçar o\nseu adversário de maneira temerária.', 'Motivo: A1.10. Fazer carga em um adversário de maneira temerária na disputa da bola - Por fazer carga em um adversário de\nmaneira temerária.']",,,,,,NÃO HOUVE EXPULSÕES,"['+7:00', '45:00', '45:00', '11:00', '16:00', '30:00', '40:00', '43:00', '43:00']","['2T', 'INT', 'INT', '2T', '2T', '2T', '2T', '2T', '2T']","['Athletico Paranaense/PR', 'Flamengo/RJ', 'Athletico Paranaense/PR', 'Flamengo/RJ', 'Athletico Paranaense/PR', 'Flamengo/RJ', 'Flamengo/RJ', 'Athletico Paranaense/PR', 'Athletico Paranaense/PR']","[('30 - Bryan Jahir Garcia Realpe', '88 - Christian Roberto Alves Card...'), ('14 - Giorgian Daniel de Arrascaet...', '7 - Everton Augusto de Barros Ri...'), ('19 - Thiago Eduardo de Andrade', '35 - Romulo Jose Cardoso da Cruz'), ('29 - Victor Hugo Gomes Silva', '8 - Thiago Maia Alencar'), ('92 - Pablo Felipe Teixeira', '10 - Miguel David Terans Perez'), ('31 - Mario Sergio Santos Costa', '42 - Matheus França de Oliveira'), ('25 - Matheus Cunha Queiroz', '1 - Aderbar Melo dos Santos Neto'), ('17 - Hugo Moura Arruda da Silva', '26 - Erick Luis Conrado Carvalho'), ('14 - Agustin Canobbio Graviz', '9 - Vitor Hugo Roque Ferreira')]","['1 Santos', '4 Léo Pereira', '5 Erick Pulgar', '6 Ayrton Lucas', '8 Thiago Maia', '9 Pedro', '10 Gabriel Barbosa', '15 Fabrício Bruno', '20 Gerson', '29 Victor Hugo', '43 Wesley', 'Banco', '25 Matheus Cunha', '2 Guillermo Varela', '3 Rodrigo Caio', '11 Everton Soares', '16 Filipe Luís', '23 David Luiz', '30 Pablo', '31 Marinho', '32 Arturo Vidal', '40 Matheus Gonçalves', '42 Matheus França']"
5,Flamengo,2,Técnico: Jorge Sampaoli,Capitão: Everton Ribeiro,Goiás,0,Técnico: Emerson Ávila,Capitão: Vinícius,quarta-feira Maio 10, 20:00 (hora local),Local: Estadio Jornalista Mário Filho / Rio de Janeiro,Oficiais: Savio Pereira (Árbitro) , Rodrigo Guarizo Ferreira Do Amaral (VAR),"['Pedro (P) · 8’', 'Everton Ribeiro · 49’']",Público: 44 948,"Renda: R$ 1 996 277,50",57%,43%,596,515,86%,453,365,81%,22,4,18%,14,6,43%,6,6,100%,4,3,75%,22,9,8,7,26,22,729,595,20,23,4,9,13,11,25,32,1,1,6,10,15,18,44,66,"['42:00', '45:00']","['1T', 'INT']","['Vinicius Santos Silva', 'Leandro Campos Borges']","['Goiás/GO', 'Goiás/GO']","['Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa da bola.', 'Motivo: A2. Desaprovar com palavras ou gestos as decisões da arbitragem - Por protestar contra as decisões da arbitragem.']",,,,,,NÃO HOUVE EXPULSÕES,"['13:00', '15:00', '22:00', '22:00', '22:00', '25:00', '25:00', '37:00', '37:00']","['1T', '2T', '2T', '2T', '2T', '2T', '2T', '2T', '2T']","['Flamengo/RJ', 'Goiás/GO', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Goiás/GO', 'Goiás/GO', 'Flamengo/RJ', 'Goiás/GO']","[('27 - Bruno Henrique Pinto', '9 - Pedro Guilherme Abreu dos Sa...'), ('12 - Willian Osmar de Oliveira Si...', '40 - Everton Morelli Casimiro'), ('32 - Arturo Erasmo Vidal Pardo', '5 - Erick Antonio Pulgar Farfan'), ('23 - David Luiz Moreira Marinho', '6 - Ayrton Lucas Dantas de Medei...'), ('42 - Matheus França de Oliveira', '7 - Everton Augusto de Barros Ri...'), ('95 - Vinicius Rodrigues Adelino d...', '20 - Jackson Diego Ibraim Fagundes'), ('27 - Alesson dos Santos Batista', '7 - Vinicius Santos Silva'), ('40 - Matheus Gonçalves Martins', '11 - Everton Sousa Soares'), ('11 - Diego Goncalves', '10 - Julian Eduardo Palacios')]","['25 Matheus Cunha', '4 Léo Pereira', '5 Erick Pulgar', '6 Ayrton Lucas', '8 Thiago Maia', '9 Pedro', '10 Gabriel Barbosa', '15 Fabrício Bruno', '20 Gerson', '42 Matheus França', '43 Wesley', 'Banco', '1 Santos', '45 Hugo Souza', '2 Guillermo Varela', '3 Rodrigo Caio', '11 Everton Soares', '16 Filipe Luís', '23 David Luiz', '29 Victor Hugo', '30 Pablo', '32 Arturo Vidal', '38 André Inácio', '40 Matheus Gonçalves']"
6,Bahia,2,Técnico: Renato Manuel Alves Paiva,Capitão: Kanu,Flamengo,3,Técnico: Jorge Sampaoli,Capitão: Gabriel Barbosa,sábado Maio 13, 16:00 (hora local),Local: Itaipava Arena Fonte Nova / Salvador,Oficiais: Paulo Cesar Zanovelli da Silva (Árbitro) , Wagner Reway (VAR),"['Biel · 35’', 'Ademir Santos · 51’', 'Rezende · 74’', 'Kanu · 77’', 'Matheus França · 23’', 'Gabriel Barbosa (P) · 29’', 'David Luiz · 45+4’']",Público: 47 655,"Renda: R$ 1 918 299,00",52%,48%,459,373,81%,430,355,83%,20,6,30%,13,3,23%,3,1,33%,6,4,66%,16,13,10,4,29,14,555,545,16,14,4,7,9,16,16,30,0,5,10,14,18,13,47,57,"['30:00', '33:00', '+04:00']","['2T', '2T', '2T']","['Bruno Mendez Cittadini', 'Cassio Ramos', 'Cristian Roberto Aran']","['Corinthians/SP', 'Corinthians/SP', 'Flamengo/RJ']","['Motivo: A1.3. Cometer uma falta tática para impedir um ataque promissor - Por cometer uma falta tática impedindo um ataque\npromissor.', 'Motivo: A3. Retardar o reinício do jogo - Por retardar o reinício de jogo.', 'Motivo: A1.24. Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser) - Por invadir o campo de\njogo durante a comemoração de um gol de sua equipe.']",,,,,,NÃO HOUVE EXPULSÕES,"['07:00', '18:00', '27:00', '37:00', '37:00', '45:00']","['2T', '2T', '2T', '2T', '2T', '2T']","['Flamengo/RJ', 'Flamengo/RJ', 'Corinthians/SP', 'Flamengo/RJ', 'Corinthians/SP', 'Corinthians/SP']","[('11 - Everton Sousa Soares', '9 - Pedro Guilherme Abreu dos Sa...'), ('32 - Arturo Erasmo Vidal Pardo', '5 - Erick Antonio Pulgar Farfan'), ('36 - Wesley Gassova Ribeiro Teixe...', '28 - Adson Ferreira Soares'), ('40 - Matheus Gonçalves Martins', '29 - Victor Hugo Gomes Silva'), ('23 - Fagner Conserva Lemos', '25 - Bruno Mendez Cittadini'), ('11 - Angel Rodrigo Romero Villama...', '9 - Yuri Alberto Monteiro da Silva')]","['25 Matheus Cunha', '4 Léo Pereira', '5 Erick Pulgar', '7 Everton Ribeiro', '10 Gabriel Barbosa', '11 Everton Soares', '14 Giorgian De Arrascaeta', '15 Fabrício Bruno', '20 Gerson', '23 David Luiz', '43 Wesley', 'Banco', '1 Santos', '2 Guillermo Varela', '3 Rodrigo Caio', '6 Ayrton Lucas', '8 Thiago Maia', '9 Pedro', '16 Filipe Luís', '27 Bruno Henrique', '29 Victor Hugo', '30 Pablo', '32 Arturo Vidal', '40 Matheus Gonçalves']"
7,Flamengo,1,Técnico: Jorge Sampaoli,Capitão: Gabriel Barbosa,Corinthians,0,Técnico: Vanderlei Luxemburgo,Capitão: Cássio,domingo Maio 21, 16:00 (hora local),Local: Estadio Jornalista Mário Filho / Rio de Janeiro,Oficiais: Rafael Rodrigo Klein (Árbitro) , Igor Junior Benevenuto de Oliveira (VAR),['Léo Pereira · 90+4’'],Público: 64 871,"Renda: R$ 3 616 817,50",64%,36%,710,634,89%,391,307,79%,10,3,30%,15,3,20%,3,3,100%,3,2,66%,9,12,6,9,20,17,802,487,12,16,5,7,6,14,16,19,0,2,7,6,17,13,64,61,"['07:00', '11:00', '21:00', '+04:00', '06:00', '16:00', '30:00', '36:00', '+04:00']","['2T', '2T', '2T', '2T', '2T', '2T', '1T', '2T', '1T']","['Thiago Maia Alencar', 'Gabriel Barbosa Almeida', 'Gerson Santos da Silva', 'Ayrton Lucas Dantas de Medeiros', 'Igor Marques Paciencia Cardoso', 'William de Asevedo Furtado', 'Wesley Ribeiro Silva', 'Matheus Isaias dos Santos', 'Rafael Cabral Barbosa']","['Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Flamengo/RJ', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG']","['Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A1.7. Tentar enganar o árbitro simulando uma lesão ou fingindo ter sofrido uma falta (simulação) - Tentar enganar o árbitro\nsimulando uma falta.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A1.24. Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser) - Por rodízio de faltas da\nequipe infringindo persistentemente as regras de jogo.', 'Motivo: A1.13. Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada contra um\nadversário de maneira temerária na disputa de bola.', 'Motivo: A3. Retardar o reinício do jogo - Retardar o reinício do jogo.']",,,,,,NÃO HOUVE EXPULSÕES,"['36:00', '12:00', '12:00', '17:00', '17:00', '17:00', '26:00', '36:00']","['1T', '2T', '2T', '2T', '2T', '2T', '2T', '2T']","['Flamengo/RJ', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Cruzeiro Saf/MG', 'Flamengo/RJ', 'Cruzeiro Saf/MG', 'Flamengo/RJ']","[('23 - David Luiz Moreira Marinho', '4 - Leonardo Pereira'), ('7 - Mateus da Silva Vital Assump...', '8 - Antonio Francisco Moura Neto'), ('12 - William de Asevedo Furtado', '33 - Igor Marques Paciencia Cardoso'), ('22 - Stenio Zanetti Toledo', '11 - Wesley Ribeiro Silva'), ('99 - Jose Henrique da Silva Dourado', '21 - Gilberto Oliveira Souza Junior'), ('11 - Everton Sousa Soares', '42 - Matheus França de Oliveira'), ('18 - Matheus Isaias dos Santos', '5 - Wallisson Luiz Alves Maximo'), ('29 - Victor Hugo Gomes Silva', '8 - Thiago Maia Alencar')]","['25 Matheus Cunha', '4 Léo Pereira', '5 Erick Pulgar', '6 Ayrton Lucas', '7 Everton Ribeiro', '8 Thiago Maia', '10 Gabriel Barbosa', '14 Giorgian De Arrascaeta', '15 Fabrício Bruno', '20 Gerson', '43 Wesley', 'Banco', '1 Santos', '2 Guillermo Varela', '3 Rodrigo Caio', '9 Pedro', '11 Everton Soares', '16 Filipe Luís', '23 David Luiz', '27 Bruno Henrique', '29 Victor Hugo', '30 Pablo', '38 André Inácio', '40 Matheus Gonçalves']"
